&b / Â°,R_0 / 1/s,R_1 / 1/s,R_2 / 1/s,R_3 / 1/s,R_4 / 1/s,R_5 / 1/s
4,"26,4",,,,,
"4,1",28,,,,,
"4,2","23,1",,,,,
"4,3","27,8",,,,,
"4,4",28,,,,,
"4,5","28,4","19,4",,,,
"4,6","26,5","20,6",,,,
"4,7","33,8","18,9",,,,
"4,8","33,5","20,3",,,,
"4,9","35,8",22,,,,
5,36,"25,1","13,4",,,
"5,1","58,8","24,5","14,3",,,
"5,2","86,6","24,6","15,1",,,
"5,3","139,4","24,3","12,8",,,
"5,4","189,6","27,5","15,1",,,
"5,5","223,8",45,"17,8","11,75",,
"5,6","254,8","72,4","17,3","14,19",,
"5,7","285,4","116,9","14,1","14,88",,
"5,8","297,8",147,"16,8","14,44",,
"5,9",304,"175,3","27,1","14,25",,
6,"319,5","199,1","43,4","14,13","9,5",
"6,1","324,9","208,9","67,9","14,5","8,75",
"6,2","325,1","214,6","97,4","16,13","9,81",
"6,3","334,9","237,8","117,4","23,44","8,88",
"6,4","341,3","241,9",132,"31,5","9,56",
"6,5","351,5","251,1","151,3","58,31","9,63","4,31"
"6,6",,"251,3","172,3","85,31","10,94","5,5"
"6,7",,"270,4","172,1","113,06","11,69","6,56"
"6,8",,"270,3","177,4","124,81",15,"5,69"
"6,9",,"264,9","192,8","143,88","27,81","6,31"
7,,"271,6","209,5","161,13","43,88","7,25"
"7,1",,,"199,4","173,06","71,38","7,38"
"7,2",,,"210,6","174,19","85,94","6,25"
"7,3",,,"218,8",191,"103,63","8,81"
"7,4",,,"215,6","196,81","114,31","14,19"
"7,5",,,"222,5","200,63","128,5","27,19"
"7,6",,,,"202,06","133,75","41,38"
"7,7",,,,217,"142,88","63,25"
"7,8",,,,"223,69","153,38","75,5"
"7,9",,,,"215,81","155,25","84,44"
8,,,,"228,69","167,88","95,31"
"8,1",,,,"222,38","166,69",104
"8,2",,,,"225,31","170,44","110,75"
"8,3",,,,"231,88","177,5","120,81"
"8,4",,,,"226,94","180,94","122,06"
"8,5",,,,"235,19","181,56","130,88"